PaperID,id,title,abstract,year
110,1210,An Explicit Level-Set Approach for Structural Topology Optimization,"Level-set approaches are a family of domain classification techniques that rely on defining a scalar level-set function (LSF), then carrying out the classification based on the value of the function relative to one or more thresholds. Most continuum topology optimization formulations are at heart, a classification problem of the design domain into structural materials and void. As such, level-set approaches are gaining acceptance and popularity in structural topology optimization. In conventional level set approaches, finding an optimum LSF involves solution of a Hamilton-Jacobi system of partial differential equations with a large number of degrees of freedom, which in turn, cannot be accomplished without gradients information of the objective being optimized. A new approach is proposed in this paper where design variables are defined as the explicit values of the LSF at knot points, then a Kriging model is used to interpolate the LSF values within the rest of the domain so that classification into material or void can be performed. Perceived advantages of the explicit level-set (ELS) approach include alleviating the need for gradients of objectives and constraints, while maintaining a reasonable number of design variables that is independent from the mesh size. A hybrid genetic algorithm (GA) is then used for solving the optimization problem(s). An example problem of a short cantilever is studied under various settings of the ELS parameters in order to infer the best practice recommendations for tuning the approach. Capabilities of the approach are then further demonstrated by exploring its performance on several test problems.",2013
111,1211,Mixed Discrete and Continuous Variable Optimization Based on Constraint Aggregation and Relative Sensitivity,"This work presents a new approach for solving nonlinear mixed discrete-continuous variable problems with constraints. The proposed method falls under the category of direct search methods for discrete variables. Different from the traditional direct search methods that determine the search direction based on decreasing objective function within the feasible space, a relative sensitivity that jointly considers change in objective and constraint functions is introduced in this work to help determining the search direction. For feasible discrete points, the coordinate direction with the maximum relative sensitivity is taken as the search direction, so that the objective function value decreases the fastest with minimum increase in constraint values. For infeasible points, the search direction is determined by the minimum relative sensitivity, so that the points can be dragged into the feasible region with constraints decreasing the fastest and minimum increase of the objective. In addition, in order to reduce the number of constraints and calculate the relative sensitivity, a constraint aggregation technique with Kreisselmeier-Steinhauser function is applied to transform all constraints into an equivalent differentiable inequality constraint. The efficacy and accuracy of the proposed approach is demonstrated with different types of test problems and application to a design problem. The proposed method has advantages in solving nonlinear mixed discrete-continuous variable problems with constraints compared to other existing methods.",2013
112,1212,Optimization of the Cutting Conditions for High Speed Drilling of Woven Composites,"The present work proposes a new algorithm for the optimization of cutting parameters in the high speed drilling of woven composites. The cutting parameters under consideration are the feed rate and the spindle speed. Three performance parameters are to be minimized. These are the exit delamination, the surface roughness and the thrust force. These performance parameters are observed experimentally. One of the challenges that face the experimental testing of these parameters is the high cost of the drilling tools and specimen materials. Therefore, the minimization of the number of experimental tests is a necessary requirement. The algorithm presented hybridizes Kriging as a meta-modeling technique with evolutionary multi-objective optimization to optimize the cutting parameters while intelligently selecting the new set of cutting parameters in each iteration. After starting with a factorial design of the search space, and after testing the performance criteria at these points, the algorithm fits a multi-dimensional surface using Kriging. This step is followed by an evolutionary search on the fitted model. The search spreads a population of search points in the direction of better performance criteria as well as in the direction of un-sampled space. The previous two steps are conducted iteratively for a pre-defined number of iterations. In the final iteration, the population of search points is clustered to yield a small number of new points at which the new experiments will be conducted. The whole process is iterated until the maximum number of allowable experiments is achieved. The algorithm is tested using an existing set of previously published experimental data that are dense enough to predict the actual response surface of the performance criteria. Results showed that the algorithm smartly moved into the direction of higher performance criteria with a low number of experimental trials.",2013
113,1213,Optimization of the Shock Mitigation Layer in the Space Frame Joints of an Armored Vehicle,"Armored vehicles have to survive multiple threats such as projectile or land mines. The shocks induced by these threats can harm vehicle occupants or damage sensitive electronic components. Therefore, a goal of modern armored vehicle design is to reduce transmitted shocks to critical components. In this paper, finite element (FE) models of an armored vehicle prototype having the internal space frame structure with the aforementioned features are developed. One model comprises of only solid elements, while another model is created with purely beam elements. The beam elements model is used for optimization studies whose objective is to reduce the shocks within the vehicle, due to mine blast while maintaining its overall structural integrity. The thickness of the rubberized shock mitigation layer at the joints of the space frame is varied during the optimization process. The optimization problem is solved using the Successive Heuristic Quadratic Approximation (SHQA) algorithm, which combines successive quadratic approximation with an adaptive random search while varying the bounds of the search space. The entire optimization process is carried out within the MATLAB environment. The results show that a significant reduction in the shock can be achieved using this approach.",2013
114,1214,Non-Probabilistic Based Topology Optimization Under External Load Uncertainty With Eigenvalue-Superposition of Convex Models,"In this paper the Eigenvalue-Superposition of Convex Models (ESCM) based topology optimization method for solving topology optimization problems under external load uncertainties is presented. The load uncertainties are formulated using the non-probabilistic based unknown-but-bounded convex model. The sensitivities are derived and the problem is solved using gradient based algorithm. The proposed ESCM based method yields the material distribution which would optimize the worst structure response under the uncertain loads. Comparing to the deterministic based topology optimization formulation the ESCM based method provided more reasonable solutions when load uncertainties were involved. The simplicity, efficiency and versatility of the proposed ESCM based topology optimization method can be considered as a supplement to the sophisticated reliability based topology optimization methods.",2013
115,1215,A Spatial Grammar for the Computational Design Synthesis of Vise Jaws,"For the machining and assembly of mechanical parts, their secure fixation in a defined position is crucial. To achieve this task, flexible fixture devices (FFDs) are the industry standard for small and medium batch-sizes. Unlike dedicated fixtures, FFDs allow for the fixation of different part shapes, increasing their applicability and economic efficiency. Aiming to create a low-cost and autonomous FFD, a reconfigurable vise with adaptable jaws was developed. The jaws can be machined to a variety of shapes to securely hold prismatic and cylindrical parts. In this paper, a spatial grammar approach for the computational design synthesis of these customizable jaws is presented. Different sets of rules for the generation of 3D solid models of vise jaws based on the model of the workpiece to be held are developed and realized in a CAD environment. The approach is verified by generating jaw designs for example parts.",2013
116,1216,A Knowledge-Based Approach for the Automated Design of Robotic/Human Manufacturing Workcells in Hazardous Environments,"The design of manufacturing systems in hazardous environments is complex, requiring interdisciplinary knowledge to determine which components and operators (human or robotic) are feasible. When conceptualizing designs, some options may be overlooked or unknowingly infeasible due to the design engineers’ lack of knowledge in a particular field or ineffective communication of requirements between disciplines. Computational design tools can help alleviate many of the problems encountered in this design task. We create a knowledge-based system (KBS) utilizing CLIPS to automate the synthesis of conceptual manufacturing system designs in radioactive environments. The KBS takes a high-level functional description of a process and uses FBS modeling to generate multiple designs with generic components retrieved from a database and low-level manufacturing task sequences. Using this approach, many options are explored and operator task compatibility is directly addressed. The KBS is applied to the design of glovebox processing systems at Los Alamos National Laboratory (LANL).",2013
117,1217,A New Approach for Designing a Gearbox for a New Kind of Independently Controllable Transmissions,"This paper deals with a new approach for the development of a gearbox of a new kind of variable transmissions, the independently controllable transmission (ICT). It provides a continuous output speed which is independent of the input speed. In the beginning the requirements of a gearbox are mentioned. Design guidelines are the starting point for the design process of the ICT gearbox. Some of these guidelines will be applied on the gearbox of the ICT to model rules which were needed for the design process. The process of the product design of the gearbox can be improved more efficiently by using multidisciplinary design optimization with evolutionary algorithms and topology optimization. This paper describes an approach for the development of this gearbox and the preparation of the optimization models based on a process chain, which is a guide for the next steps of creating the design process in detail. The first step is a parametric CAD model which consists of different parts and provides the complete design space of the gearbox.",2013
118,1218,Topology Optimization of Fluid Channels Using Generative Graph Grammars,"This paper presents a new technique for topology optimization of fluid channels using generative design methods. The proposed method uses the generative abilities of graph grammars with simulation and analysis power of conventional CFD methods. The graph grammar interpreter GraphSynth is used to carry out graph transformations, which define different topologies for a given multi-inlet multi-outlet problem. The generated graphs are first transformed into meaningful 3D shapes. These solutions are then analyzed by a CFD solver to find the optimum. The effectiveness of the proposed method is checked by solving a variety of available test problems and comparing them with those found in the literature. Furthermore by solving complex problems the robustness and effectiveness of the method is tested.",2013
119,1219,Particle Swarm Optimization With Crossover and Mutation Operators Using the Diversity Criteria,"Particle Swarm Optimization is a population based globalized search algorithm that mimics the behavior of swarms. It belongs to the larger class of evolutionary algorithms as widely used stochastic technique in the global optimization field. Since the PSO is population based, it requires no auxiliary information, such as the gradient of the problem.",2013
